,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Diff,Average Odds Error,Consistency,Consistency Obj,Model,Preprocessor,ModelPreprocessor
8,0.76,0.821656050955414,0.8657718120805369,0.8431372549019608,0.6583761021186998,0.7656270561916041,0.0006131776769651917,0.001824333965953982,0.9077259828302656,0.03344334009065831,0.07475943745373792,0.9127806563039724,0.08721934369602757,0.13793103448275867,0.125,0.13146551724137934,0.13146551724137934,0.775,0.22499999999999998,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
9,0.745,0.8223684210526315,0.8389261744966443,0.8305647840531561,0.6547572048953809,0.7807606263982103,0.00019993266813667782,0.0005689648810798174,0.8976834416236619,0.020384961089422456,0.04737231680236864,1.066321243523316,0.06632124352331603,0.0913793103448276,0.14583333333333326,0.02722701149425283,0.11860632183908043,0.734,0.266,LogisticRegression,Reweighing,"('LogisticRegression', 'Reweighing')"
10,0.74,0.8391608391608392,0.8053691275167785,0.821917808219178,0.6771943676799579,0.6771943676799578,0.0017011047198099843,0.004540345443231669,0.8757653257630371,0.06057074792425148,0.14877868245743897,1.2603626943005182,0.26036269430051817,0.19999999999999996,0.4791666666666667,-0.13958333333333336,0.33958333333333335,0.69,0.31000000000000005,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
11,0.7,0.8677685950413223,0.7046979865771812,0.7777777777777777,0.6954862481905514,0.6954862481905514,8.47899452968287e-05,0.0002061394011073899,0.7800959475391636,0.013078681166289501,0.03478904515173953,1.0608808290155443,0.06088082901554426,0.04655172413793107,0.020833333333333315,0.03369252873563219,0.03369252873563219,0.6120000000000001,0.3879999999999999,DecisionTreeClassifier,DisparateImpactRemover,"('DecisionTreeClassifier', 'DisparateImpactRemover')"
12,0.745,0.745,1.0,0.8538681948424068,0.5,0.5,0.0,0.0,0.9799840668480978,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DecisionTreeClassifier,LFR,"('DecisionTreeClassifier', 'LFR')"
13,0.735,0.8380281690140845,0.7986577181208053,0.81786941580756,0.6738386629819713,0.6738386629819715,1.6222970889295807e-06,4.303939270654233e-06,0.8417151171590392,0.0017987276343680069,0.004441154700222105,0.993782383419689,0.006217616580310947,0.050000000000000044,0.22916666666666663,0.08958333333333329,0.13958333333333334,0.7190000000000001,0.2809999999999999,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
14,0.745,0.8356164383561644,0.8187919463087249,0.8271186440677966,0.6741018555073036,0.6741018555073035,0.0021137714124637857,0.005751967744518859,0.8793578194742966,0.06802240646494068,0.16432272390821612,1.2875647668393781,0.28756476683937815,0.18620689655172418,0.5,-0.1568965517241379,0.3431034482758621,0.6950000000000001,0.30499999999999994,DecisionTreeClassifier,Reweighing,"('DecisionTreeClassifier', 'Reweighing')"
0,0.67,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.5371120107962213,0.51797325481536,0.003890498346643137,0.01385096798897719,0.9223246120524099,0.06579516949597707,0.1785714285714286,0.8214285714285714,0.1785714285714286,0.15714285714285714,0.2321428571428571,0.19464285714285712,0.19464285714285712,0.815,0.18500000000000005,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.59,0.7364341085271318,0.6643356643356644,0.6985294117647058,0.5339222181327444,0.5647773279352227,0.0008972437152449594,0.002397361128962842,0.8011069054519776,0.043288838014935334,0.14795918367346939,1.2959183673469388,0.29591836734693877,0.0023809523809523725,0.6071428571428571,-0.30238095238095236,0.30476190476190473,0.7390000000000001,0.2609999999999999,KNeighborsClassifier,DisparateImpactRemover,"('KNeighborsClassifier', 'DisparateImpactRemover')"
2,0.715,0.715,1.0,0.8338192419825073,0.5,0.5,0.0,0.0,0.9946188383298417,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,KNeighborsClassifier,LFR,"('KNeighborsClassifier', 'LFR')"
3,0.705,0.7386363636363636,0.9090909090909091,0.8150470219435737,0.55103668261563,0.5311618206355049,0.002584334928125945,0.01111627716128124,0.9321110286604726,0.05275349613399976,0.12244897959183676,0.8775510204081632,0.12244897959183676,0.09285714285714286,0.1964285714285714,0.14464285714285713,0.14464285714285713,0.868,0.132,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
4,0.67,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.5371120107962213,0.51797325481536,0.003890498346643137,0.01385096798897719,0.9223183168811688,0.06579516949597707,0.1785714285714286,0.8214285714285714,0.1785714285714286,0.15714285714285714,0.2321428571428571,0.19464285714285712,0.19464285714285712,0.815,0.18500000000000005,KNeighborsClassifier,Reweighing,"('KNeighborsClassifier', 'Reweighing')"
5,0.75,0.7961783439490446,0.8741258741258742,0.8333333333333334,0.6563611826769722,0.7559808612440191,0.004027814105192047,0.013023501487956581,0.9132386415370728,0.09910436009004796,0.2908163265306123,1.5816326530612246,0.5816326530612246,0.5523809523809524,0.4464285714285714,-0.05297619047619051,0.4994047619047619,0.776,0.22399999999999998,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
6,0.73,0.8068965517241379,0.8181818181818182,0.8125000000000001,0.6634768740031898,0.740645319592688,0.0023147354242302534,0.006746455282208686,0.8949777877202197,0.07198617998003834,0.22959183673469385,1.4591836734693877,0.4591836734693877,0.4952380952380953,0.5178571428571428,0.011309523809523742,0.506547619047619,0.7270000000000001,0.2729999999999999,LogisticRegression,DisparateImpactRemover,"('LogisticRegression', 'DisparateImpactRemover')"
7,0.715,0.715,1.0,0.8338192419825073,0.5,0.5,0.0,0.0,0.9926401572990529,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,LogisticRegression,LFR,"('LogisticRegression', 'LFR')"
