,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Diff,Average Odds Error,Consistency,Consistency Obj,Model,Preprocessor,ModelPreprocessor
0,0.6048582995951417,0.6151898734177215,0.41968911917098445,0.4989733059548254,0.5939909010489068,0.6547493049412361,0.005560241234338792,0.008731773480313385,0.7321021199658752,0.10616898134453807,0.10388890812757562,0.7318795245330234,0.2681204754669766,0.05367751060820364,0.17734375,0.11551063030410182,0.11551063030410182,0.9784615384615385,0.021538461538461506,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.6364372469635627,0.6737967914438503,0.43523316062176165,0.5288562434417629,0.624628775432832,0.637787501579679,0.001456970734136781,0.002312533962821842,0.691113562353669,0.05368749356754888,0.051753991065553895,1.1922928461142563,0.19229284611425634,0.009547383309759572,0.04234375000000001,-0.025945566654879793,0.025945566654879793,0.977327935222672,0.02267206477732797,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.665587044534413,0.6707818930041153,0.5630397236614854,0.612206572769953,0.6595686423185476,0.7265878406841062,0.028737712027553763,0.043637348025100046,0.6093375535646355,0.2350931458971339,0.2409530075838903,2.0181445712613404,1.0181445712613404,0.3155586987270156,0.13093749999999998,-0.22324809936350778,0.22324809936350778,0.997085020242915,0.00291497975708499,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6647773279352227,0.7211796246648794,0.46459412780656306,0.5651260504201681,0.6530287712203546,0.7260059922490416,0.01886615414346729,0.029960839182626913,0.6676569688521805,0.18933400702012998,0.18237697821795892,1.994993387492915,0.9949933874929151,0.2481753889674682,0.080625,-0.1644001944837341,0.1644001944837341,0.9951417004048583,0.004858299595141724,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.6623481781376518,0.6776315789473685,0.533678756476684,0.5971014492753624,0.6547966953115127,0.7078475820379967,0.020984161065029983,0.0321506946382005,0.6336997559625006,0.201130387690954,0.2036395747480694,1.8604770266315482,0.8604770266315482,0.26528995756718526,0.10484375000000001,-0.18506685378359264,0.18506685378359264,0.9721457489878542,0.02785425101214578,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.6558704453441295,0.676605504587156,0.5094991364421416,0.58128078817734,0.6472800560259488,0.7067497051265851,0.03906373339038596,0.060277776302447524,0.6349388700082348,0.27070932217803073,0.2714270873013125,2.539277297721917,1.5392772977219171,0.3452899575671853,0.16671875000000003,-0.25600435378359265,0.25600435378359265,0.9747368421052631,0.025263157894736876,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
0,0.5935222672064777,0.5321821036106751,0.6243093922651933,0.5745762711864407,0.5968367770574521,0.6398700220355762,0.02463166592504909,0.0365678350328046,0.46962875662820186,0.22103180880399528,0.22985725479508057,1.6227041993539455,0.6227041993539455,0.3192140269702597,0.1474967964296761,-0.2333554116999679,0.2333554116999679,0.9826720647773279,0.017327935222672064,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.617004048582996,0.5636363636363636,0.570902394106814,0.5672461116193962,0.6120407924291296,0.6529489881731763,0.012897141220656744,0.01922523470259432,0.5361535151029143,0.15957204917521176,0.1650313994026732,1.485322602190756,0.48532260219075596,0.24714620559495903,0.08505147806106667,-0.16609884182801285,0.16609884182801285,0.9851012145748987,0.014898785425101257,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6550607287449393,0.6285714285714286,0.5267034990791897,0.5731462925851704,0.6412419229499995,0.7170211520241857,0.022524083944548995,0.03431880238175224,0.5707042180010764,0.20847622826314377,0.20926310768916295,1.8908629441624365,0.8908629441624365,0.28810386289610673,0.1267023109893509,-0.2074030869427288,0.2074030869427288,0.997246963562753,0.002753036437247003,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6615384615384615,0.6470588235294118,0.5064456721915286,0.5681818181818182,0.6448413332055909,0.7177290582186312,0.03433579341201251,0.05289490059686553,0.5703939714499379,0.25473830542015685,0.25183399766065934,2.372802401881887,1.372802401881887,0.3402788347386685,0.1617073925146922,-0.25099311362668036,0.25099311362668036,0.997246963562753,0.002753036437247003,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
