,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Abs Diff,Average Odds Error,Preprocessor,Model
0,0.6639676113360324,0.6514161220043573,0.5397111913357401,0.5903257650542942,0.6523812931715411,0.7136312070272534,0.024500114146201374,0.0381220122737867,0.5984874179270958,0.21606267094454706,0.22416335756982342,2.0243744130807046,1.0243744130807046,0.29760543541304174,0.12343849645496491,0.21052196593400332,0.21052196593400332,OriginalData,"('LogisticRegression', 'OriginalData')"
1,0.6647773279352227,0.6464435146443515,0.5577617328519856,0.5988372093023255,0.6547986344142454,0.7146861432274686,0.026567701050190046,0.04109698215712695,0.5718847055115419,0.2252374595331603,0.235532145080476,2.0400464383890684,1.0400464383890684,0.3131162482392907,0.13126008177964513,0.22218816500946792,0.22218816500946792,DisparateImpactRemover,"('LogisticRegression', 'DisparateImpactRemover')"
2,0.551417004048583,0.0,0.0,0.0,0.5,0.5,2.7755575615628914e-16,8.874409103033164e-16,0.8298076107626923,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,LFR,"('LogisticRegression', 'LFR')"
3,0.6615384615384615,0.6452991452991453,0.5451263537906137,0.5909980430528375,0.6506835880553656,0.7128545831411652,0.003726025987437709,0.005780970671630466,0.6214434399819748,0.08573731101525592,0.08929726266673921,1.280750593824228,0.28075059382422807,0.13976302924848782,0.0030479798927111057,0.07140550457059947,0.07140550457059947,MetricOptimizer,"('LogisticRegression', 'MetricOptimizer')"
4,0.6639676113360324,0.6514161220043573,0.5397111913357401,0.5903257650542942,0.6523812931715411,0.7136312070272534,0.024500114146201374,0.0381220122737867,0.6019146910273036,0.21606267094454706,0.22416335756982342,2.0243744130807046,1.0243744130807046,0.29760543541304174,0.12343849645496491,0.21052196593400332,0.21052196593400332,Reweighing,"('LogisticRegression', 'Reweighing')"
5,0.6704453441295547,0.6705336426914154,0.5216606498194946,0.5868020304568529,0.6565718814442554,0.7082544781776641,0.028215978757803906,0.04435298749299069,0.2294224629849204,0.2303226482428437,0.23569533341794954,2.251733324773705,1.251733324773705,0.32799734857900403,0.12056870615598156,0.22428302736749278,0.22428302736749278,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
6,0.6720647773279352,0.671264367816092,0.5270758122743683,0.5904954499494439,0.6585452482810902,0.7102318209047005,0.029251369264455485,0.045908496112102126,0.5874558459803627,0.23446613485479406,0.24044592724217753,2.2769628298131863,1.2769628298131863,0.33540475598641145,0.12285703567543235,0.2291308958309219,0.2291308958309219,DisparateImpactRemover,"('DecisionTreeClassifier', 'DisparateImpactRemover')"
7,0.551417004048583,0.0,0.0,0.0,0.5,0.5,2.7755575615628914e-16,8.874409103033164e-16,0.830689812664525,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,LFR,"('DecisionTreeClassifier', 'LFR')"
8,0.6647773279352227,0.6643192488262911,0.5108303249097473,0.5775510204081633,0.6504225045987797,0.7079655634896654,0.009732589269516922,0.015329605872196827,0.6303581773221029,0.13736442330356893,0.14018482590221998,1.5621697610160454,0.5621697610160454,0.2030159913828818,0.04621675357317026,0.12461637247802602,0.12461637247802602,MetricOptimizer,"('DecisionTreeClassifier', 'MetricOptimizer')"
9,0.6704453441295547,0.6705336426914154,0.5216606498194946,0.5868020304568529,0.6565718814442554,0.7082544781776641,0.028215978757803906,0.04435298749299069,0.3918265583182247,0.2303226482428437,0.23569533341794954,2.251733324773705,1.251733324773705,0.32799734857900403,0.12056870615598156,0.22428302736749278,0.22428302736749278,Reweighing,"('DecisionTreeClassifier', 'Reweighing')"
